"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.489601.489900",0,0,0,0,0
"CM002236.1.489901.490200",0,0,0,0,0
"CM002236.1.508501.508800",0,0,0,0,0
"CM002236.1.544201.544500",0,0,2.02326583565629,0,0
"CM002236.1.544501.544800",0,0,2.08027891190931,0,0
"CM002236.1.544801.545100",0,0,1.69855700898453,0,0
"CM002236.1.545101.545400",0,0,2.16356432119382,0,0
"CM002236.1.545401.545700",0,0,1.93165428136555,0,0
"CM002236.1.545701.546000",0,0,1.43747049744217,0,0
"CM002236.1.546001.546300",0,0,1.48523930113531,0,0
"CM002236.1.547801.548100",0,0,2.36716888268122,0,0
"CM002236.1.548101.548400",0,0,2.05336834617859,0,0
"CM002236.1.548401.548700",0,0,2.09854721531168,0,0
"CM002236.1.549901.550200",0,0,1.89374206528572,0,0
"CM002236.1.550201.550500",0,0,1.60755615846339,1.72126895498403,0
"CM002236.1.550501.550800",0,0,1.71345524284658,1.63294795832316,0
"CM002236.1.568801.569100",0,0,0,0,0
"CM002236.1.569101.569400",0,0,1.41325355761135,0,0
"CM002236.1.569401.569700",0,0,1.71071632951899,0,0
"CM002236.1.584701.585000",0,0,2.9068501259624,0,0
"CM002236.1.585001.585300",0,0,2.55075730073554,0,0
"CM002236.1.587101.587400",0,0,3.26139082778334,1.29506459042656,0
"CM002236.1.587401.587700",0,0,3.85737448784239,1.64497331174203,0
"CM002236.1.587701.588000",0,0,3.27543137000812,0,0
"CM002236.1.588001.588300",0,0,3.56691482484059,0,0
"CM002236.1.1280701.1281000",0,0,1.66848846415918,0,0
"CM002236.1.1281001.1281300",0,0,2.18542484176964,0,0
"CM002236.1.1281301.1281600",0,0,1.82740555702462,0,0
"CM002236.1.1283701.1284000",0,0,3.12512741181195,0,0
"CM002236.1.1284001.1284300",0,0,2.51834128985007,0,0
"CM002236.1.1284601.1284900",0,0,2.32602998652176,0,0
"CM002236.1.1284901.1285200",0,0,2.80944817212282,2.08033917497131,0
"CM002236.1.1285201.1285500",0,0,2.10748748722409,1.74726004069064,0
"CM002236.1.1304701.1305000",0,0,2.90062803012117,0,0
"CM002236.1.1305001.1305300",0,0,2.73145377389277,1.42420447662547,0
"CM002236.1.1305301.1305600",0,0,3.04882929810117,0,0
"CM002236.1.1305601.1305900",0,0,2.86271772149753,0,0
"CM002236.1.1305901.1306200",0,0,3.20532656210936,0,0
"CM002236.1.1306201.1306500",0,0,4.04070793426679,1.74122510027218,0
"CM002236.1.1306501.1306800",0,0,3.60950363002098,1.81856567938661,0
"CM002236.1.1308301.1308600",0,0,2.59020753239098,0,0
"CM002236.1.1308601.1308900",0,0,2.78242210846096,0,0
"CM002236.1.1308901.1309200",0,0,2.47746476607121,0,0
"CM002236.1.1314901.1315200",0,0,1.85096760529382,0,0
"CM002236.1.1315201.1315500",0,0,2.80056461066393,1.71212640718357,0
"CM002236.1.1315501.1315800",0,0,3.92055110442892,1.6287512852824,0
"CM002236.1.1315801.1316100",0,0,3.55092461471287,0,0
"CM002236.1.1316101.1316400",0,0,3.69832823968788,0,0
"CM002236.1.1332001.1332300",0,0,2.46619090519892,1.41735443634407,0
"CM002236.1.1332301.1332600",0,0,2.60920803976075,0,0
"CM002236.1.1332601.1332900",0,0,2.96704099592337,1.50589563794937,0
"CM002236.1.1332901.1333200",0,0,3.63346772611557,1.6488723374795,0
"CM002236.1.1333201.1333500",0,0,3.38229825277383,0,0
"CM002236.1.1333501.1333800",0,0,2.96383155227089,0,0
"CM002236.1.1333801.1334100",0,0,2.93959891108295,0,0
"CM002236.1.1334101.1334400",0,0,3.21759085780681,0,0
"CM002236.1.1369801.1370100",0,0,3.719724097479,2.0073589616513,0
"CM002236.1.1370101.1370400",0,0,2.80556926672835,0,0
"CM002236.1.1370401.1370700",0,0,3.56858070703527,0,0
"CM002236.1.1370701.1371000",0,0,4.25380817767852,1.9032375252281,0
"CM002236.1.1374001.1374300",0,0,2.68685316642982,0,0
"CM002236.1.1374301.1374600",0,0,3.05533460003149,0,0
"CM002236.1.1374601.1374900",0,0,2.6200287451246,0,0
"CM002236.1.1374901.1375200",0,0,3.19387616576113,1.66871223583939,0
"CM002236.1.1375201.1375500",0,0,3.1788724043752,0,0
"CM002236.1.1375501.1375800",0,0,2.36207894564825,1.44727875906034,0
"CM002236.1.1375801.1376100",0,0,2.46793047437662,1.39563572624935,0
"CM002236.1.1384201.1384500",0,0,1.56513002789846,0,0
"CM002236.1.1397401.1397700",0,0,0,0,0
"CM002236.1.1861201.1861500",0,0,0,0,0
"CM002236.1.1997101.1997400",2.66127538181296,2.91373579517885,3.21735448084459,0,0
"CM002236.1.1997401.1997700",3.24328850200194,3.14072522071662,3.57860008233378,0,0
"CM002236.1.1997701.1998000",3.74191344661847,3.88719983542827,4.36132862988475,0,0
"CM002236.1.1998001.1998300",3.55531521600311,3.68520711488635,3.6538550483478,0,0
"CM002236.1.1998301.1998600",3.17222309407383,3.3683700793527,3.83956850076281,0,0
"CM002236.1.1998601.1998900",4.23581858438763,4.29078627100393,4.76913325121975,0,0
"CM002236.1.2023501.2023800",2.4089538018484,1.83821435364069,1.90291646540788,2.37943311740712,0
"CM002236.1.2023801.2024100",2.34720979016243,1.92410326497981,1.82358960605755,0,0
"CM002236.1.2024101.2024400",1.94591912049714,0,0,0,0
"CM002236.1.6263101.6263400",2.13695025606511,0,0,0,1.78189319897724
"CM002236.1.6263401.6263700",2.12428010198345,0,0,0,0
"CM002236.1.6263701.6264000",2.55067143729428,0,0,0,0
"CM002236.1.6264001.6264300",0,0,0,0,0
"CM002236.1.6264301.6264600",2.78943947744203,0,0,0,0
"CM002236.1.6264601.6264900",2.55446921560523,0,0,0,0
"CM002236.1.6267001.6267300",2.76754029558795,0,0,0,2.84568258846475
