"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002238.1.4965594.4966394",2.05764402090162,0,0,0,0,2.9561380417196
"CM002238.1.4968177.4968977",2.18447940243312,0.762226890414809,0,0,0,2.63121638497325
"CM002238.1.4968794.4969594",2.50224926812585,1.11911559932492,0.644005869123757,0.888115009583554,0,2.89503884702174
"CM002238.1.4982064.4982864",1.24839749233393,0,0,0,0,2.27227286241169
"CM002238.1.4984671.4985471",1.44905989959587,0.668968851478892,0,0,0,2.56199799453255
"CM002238.1.4987375.4988175",1.06810660853503,0.975567093341335,0,0,0,0.867807590763464
"CM002238.1.4991067.4991867",3.21587992911863,2.48310647934163,2.30459383925308,1.05739123543126,0,3.00030157678523
"CM002238.1.4993440.4994240",4.15091654285352,3.96472659241533,4.08333412222563,3.0790004267073,0,3.28599569620937
"CM002238.1.5017566.5018366",4.02353772077846,3.72189352215677,3.65763014636618,3.59280770400219,0,3.06270519835398
"CM002238.1.5019530.5020330",4.23849068156565,4.148833219281,4.02778737906823,4.17735669601479,0,3.39653306497055
"CM002238.1.5026608.5027408",4.25353401663361,3.78207121714174,3.66270902530504,3.76586773261379,0,3.01452287397914
"CM002238.1.5030961.5031761",3.58894982476432,3.17221441827798,3.36819659409781,3.00720887679081,0,3.15602603446747
"CM002238.1.5053124.5053924",1.07402249395749,0,0,-0.836205114996525,0,0
"CM002238.1.5056944.5057744",3.99084327670009,3.58531119460786,2.94845823407733,1.42836331091165,0,2.39693290695133
"CM002238.1.5057674.5058474",3.76370686895767,3.70951182764892,3.20671296550766,1.44735456575919,0,2.16181835688552
"CM002238.1.5061438.5062238",4.41242962680466,4.96271388261313,4.50996154013094,2.80923210329046,0,2.19432481580491
"CM002238.1.5089731.5090531",4.0763733926263,4.13469164756096,3.9787412039077,3.46152362203386,0,2.95928747006662
"CM002238.1.5093874.5094674",4.29602465961098,4.25483004605347,4.26614928593686,4.3192887176528,0,2.62257483231947
"CM002238.1.5116631.5117431",2.21783793556885,2.87566613719047,2.60016491918485,0,0,0
"CM002238.1.5118660.5119460",3.27326522845296,3.89930295966296,3.86663192096678,1.25294504431782,0,0
"CM002238.1.5130735.5131535",3.04371259730639,3.71101632291271,3.24567249106745,0,0,1.8291015314251
"CM002238.1.5145232.5146032",2.44812977281587,3.18456044984963,2.98242757134925,0,0,2.0419818215664
"CM002238.1.5204541.5205341",1.86143830877998,2.60685523059152,2.21089541794855,-0.7597528485512,0,0
"CM002238.1.5225493.5226293",2.81860224969724,2.8229401346208,3.30421850553084,0,0,1.2996384955039
"CM002238.1.5227300.5228100",3.78395685252037,3.93877930037165,4.13965883343558,0,0,1.59039012188302
"CM002238.1.5229213.5230013",3.37473726060707,3.65737319425978,3.44256817223464,0,0,1.88215509756255
"CM002238.1.5230622.5231422",1.77207067672992,1.95163283988504,1.71072683819153,-1.20141677804039,0,0
"CM002238.1.5248521.5249321",4.61599245083862,4.82155667726482,4.67652331098779,0,0,3.16739909493522
"CM002238.1.5251530.5252330",4.66162299024692,4.19432887301544,4.27524909653921,0,0,2.79403914420105
"CM002238.1.5253995.5254795",4.24472841315154,3.67763824237338,3.93122301286598,0,0,2.34232757853352
