"","WT_0hr_rep1","WT_0hr_rep2","WT_0hr_rep3","WT_24hr_rep1","WT_24hr_rep2","WT_24hr_rep3","qa_0hr_rep1","qa_0hr_rep2","qa_0hr_rep3","qa_24hr_rep1","qa_24hr_rep2","qa_24hr_rep3"
"NCU17104",885.386370603577,535.365925156639,591.418559366542,978.378239842046,541.570948488727,581.774809983365,983.062853155639,705.540957688028,623.407112220464,798.270843026066,937.015140250313,618.318724104364
"ckb-1",766.633359945373,2022.17020643405,2085.11399875028,1908.52656645244,1177.43326747326,1262.57511953837,1146.64451192074,1828.61076376478,1865.02627739289,1469.60146496966,1532.94108718775,1028.04799911328
"NCU10009",108.230591992288,282.230949674968,290.861586573709,220.479603344686,350.570480048506,293.981951853296,113.24884068353,339.463964554005,224.686313362792,287.983785142315,662.575559423861,491.675130010699
"NCU10010",453.967205300985,10.1835909676535,14.5430793286855,39.6174287259983,78.5761420798376,91.2891324176026,302.783358771937,13.0108139724532,4.32921605708655,25.2617355387996,9.8014136009447,22.3488695459409
"NCU10011",1485.16423456084,1178.38695482847,1152.53903679832,1144.59919080113,1173.80667630034,1175.92780741319,2043.19783399868,642.852490366208,1160.2299032992,663.120557893488,503.792659088557,1072.74573820516
"NCU10012",174.371509320908,354.970885158207,355.093520275403,244.594559960511,304.633658524909,232.091014621023,147.852653114608,334.732759473113,319.496145012988,271.563657042095,215.631099220783,208.589449095448
"acu-6",171.365103987789,2636.09526191258,1696.69258834664,7280.99440107804,22164.5163851357,16274.2219452262,413.672848607893,2162.16072196767,2949.49489969307,14154.1504223894,18369.8093708905,21778.9733725194
"NCU09872",0,0,0,18.947465912434,29.0127293833247,9.28364058484094,0,0,0,8.84160743857984,7.84113088075576,37.2481159099015
"NCU17105",175.874711987468,338.968099351894,395.086988429288,189.47465912434,137.810464570792,198.050999143273,119.540442943726,221.183837531704,192.217192934643,128.834851247878,105.855266890203,238.387941823369
"NCU09871",402.858314637961,869.242229024707,871.978798082432,375.504324446419,495.63412696513,569.396622536911,508.046882510834,883.552548856592,639.425211631684,536.811880199491,470.467852845345,260.73681136931
"NCU09870",75.1601333279777,128.022286450501,187.84810799552,67.1773791440841,198.253650786052,204.240092866501,92.0146830553678,272.044292151293,227.716764602753,156.622760340557,121.537528651714,104.294724547724
"NCU09869",640.36433595437,983.443927733392,991.959202544087,353.111864731724,686.63459540535,492.03295099657,435.693456518579,652.906301163104,821.685207635028,472.394454575552,756.66912999293,953.551767293477
"NCU03846",435.928773302271,272.047358707314,196.331570937254,372.059330644158,256.279109552701,238.280108344251,349.183925440883,299.248721366423,315.166928955901,294.299219027015,188.187141138138,320.333796825152
"NCU03847",66.1409173286204,23.2767793546365,20.6026957156377,13.7799752090429,29.0127293833247,12.3781874464546,77.0721276874021,48.4948520791436,37.2312580909444,35.3664297543194,39.2056544037788,44.6977390918817
"NCU03848",837.283885273672,178.940241288768,139.371176899902,372.059330644158,217.595470374935,263.03648323716,711.737505684683,263.764683259732,251.09453131102,313.245520681114,254.836753624562,201.139825913468
"NCU12121",691.473226617395,46.553558709273,61.8080871469132,55.1199008361716,44.7279577992922,49.5127497858183,516.697835618604,37.8496406471365,30.3045123996059,58.101991739239,23.5233926422673,14.8992463639606
"NCU03850",496.056879964653,240.769186449521,246.020425310262,144.68973969495,174.076376299948,250.658295790705,366.485831656422,283.280904218412,248.497001676768,213.461665302856,105.855266890203,163.891710003566
"NCU03851",493.050474631534,146.20727032131,105.43732513297,365.169343039637,236.937289963818,232.091014621023,1020.02601643429,167.366379736557,188.753820088974,359.979731427894,180.346010257382,126.643594093665
"NCU03852",1088.31873058912,721.580159993731,775.630897529891,457.322927250111,841.369152116415,643.665747215638,813.189592130345,774.734831996075,780.990576698414,672.593708720538,937.015140250313,1162.14121638893
"NCU03853",694.479631950514,1217.66651998942,1203.43981444872,2800.77996123797,1416.78828488569,1522.51705591391,926.438432813874,1413.4475179165,1363.70305798226,1721.58727696919,1219.29585195752,1095.0946077511
"NCU03854",216.461183984576,272.047358707314,309.040435734566,93.0148326610396,79.7850058041428,114.498233879705,235.935084757353,290.969112474862,210.832821980115,99.7838553782583,58.8084816056682,29.7984927279212
"NCU03855",694.479631950514,609.560659349543,676.253188783874,351.389367830594,618.938226844259,637.476653492411,703.086552576913,974.036846028653,1085.76738711731,545.65348763807,693.940082946884,849.257042745753
"tca-5",828.264669274314,3315.48625932604,3292.18958303117,1949.86649207957,5274.27242914356,4298.32559078135,1346.40288368196,5431.42343286408,5169.94981537276,3442.54301054991,4610.58495788438,4261.18446009273
"NCU03858",960.546503931555,607.378461285046,587.782789534371,738.951170584925,626.191409190091,587.963903706593,1020.81246671682,844.520106939233,922.988863370853,838.058076499675,556.720292533659,424.628521372877
"NCU03859",327.698181309983,699.75817934876,578.693364953942,513.304076536848,548.824130834558,396.101998286547,394.798041827305,637.529884650205,777.094282247037,402.924681843853,631.211035900838,491.675130010699
"NCU03860",840.290290606791,1386.42317031054,1474.91062858418,1222.11155135199,1204.02826940797,1404.9242751726,992.500256545933,1632.85715354287,1284.04548253187,1498.65246083928,1452.56949566,1258.98631775467
"NCU03861",180.384319987147,21.0945812901393,6.05961638695227,108.517304771213,321.557750665182,287.792858130069,95.9469344679904,47.3120508089206,22.5119234968501,45.4711239698392,7.84113088075576,134.093217275645
"NCU03862",581.739431958547,48.0083574189378,47.870969456923,67.1773791440841,72.5318234583117,69.627304386307,401.089644087501,48.4948520791436,48.9201414450781,55.575818185359,50.9673507249124,74.4962318198029
"NCU03863",192.409941319623,204.399218707902,196.331570937254,163.637205607384,174.076376299948,225.901920897796,147.852653114608,179.194392438787,148.925032363777,237.460314064716,372.453716835898,245.83756500535
"NCU12120",450.960799967866,149.844267095472,140.583100177293,227.369590949208,147.481374365234,170.200077388751,431.761205105957,188.065401965459,161.912680535037,169.885171498427,86.2524396883133,134.093217275645
"NCU03864",99.2113759929306,11.6383896773182,18.1788491608568,19.8087143629992,9.67090979444155,7.73636715403412,102.238536728186,18.3334196884567,17.7497858340549,18.9463016540997,17.6425444817005,14.8992463639606
"NCU03868",1110.86677058751,29.0959741932956,27.8742353799805,203.254634333383,100.335689117331,114.498233879705,416.818649737991,15.3764165128992,17.7497858340549,184.410669433237,86.2524396883133,156.442086821586
"NCU03870",4696.00513033205,1307.86403998864,1499.75505577069,819.908524938052,1861.65013543,1296.61513501612,1307.08036955574,1100.0051813074,1426.04376920431,780.587628148906,1013.46616633768,1787.90956367527
"NCU11263",1674.56777054734,878.698420637528,987.717471073221,1446.8973969495,1271.72463796906,1296.61513501612,1200.1231311324,625.701871947975,832.941169383453,1237.82504140118,1058.55266890203,1422.87802775824
"NCU11264",559.191391960154,13.093188386983,19.3907724382473,96.4598264633003,797.850058041428,600.342091153047,239.867336169976,37.8496406471365,25.109453131102,519.128665322331,239.154491863051,290.535304097231
"NCU03873",7652.80477545469,2741.56816836328,3114.64282289347,9447.89550270004,3597.57844353226,2825.32128465326,2533.15636001145,2267.43003501752,1690.5588702923,4827.5176614646,3516.74720001896,2637.16660642102
"NCU03874",1046.22905592545,887.427212895516,760.48185656251,1011.96692941409,647.950956227584,690.083950139843,968.906748070198,886.509552032149,688.345353076762,725.011809963547,639.052166781594,528.923245920601
"crf4-1",754.607738612896,1086.00723676476,1175.56557906874,382.39431205094,925.989612817779,789.10944971148,741.622616420614,1328.28582646045,1338.59360485116,690.908466986168,729.225171910285,774.76081092595
"NCU03876",1524.24750389139,3117.63363481163,3255.83188470946,3167.67180117874,2531.36063869508,3063.60139299751,2658.20195493285,4206.04131691304,3574.63369833637,3079.40556217967,3430.49476033064,3009.64776552004
"NCU03877",757.614143946015,4435.68126576792,3744.8429271365,981.823233644306,1660.97875719534,1757.70261739655,893.407520947845,3900.28718856039,3221.80258968381,1477.81152901977,1579.98787247228,1527.17275230596
"NCU03878",478.018447965938,294.596738707118,293.891394767185,267.848268125771,296.171612454773,312.549233022978,694.435599469143,318.764942325102,330.752106761413,287.352241753845,407.738805799299,525.198434329611
"NCU03879",42.0896746636675,20.3671819353069,24.2384655478091,39.6174287259983,25.3861382104091,18.5672811696819,85.7230807951717,18.3334196884567,17.3168642283462,15.7885847117497,13.7219790413226,29.7984927279212
"NCU03880",1106.35716258783,1854.8683548226,1671.24219952144,1209.19282459351,1138.74962829549,950.025886515389,1138.78000909549,1485.59839540011,1466.73840014092,1115.305624038,784.113088075576,1087.64498456912
"NCU03881",1196.54932258141,606.651061930214,597.478175753494,2979.05839050496,3604.83162587809,3232.25419695545,1217.42503734794,642.852490366208,717.351100659242,2348.07831833142,2616.97743145223,2555.22075141924
"NCU03882",772.646170611611,1660.65272708235,1786.98087251223,1543.3572234128,1073.47098718301,934.553152207321,1286.6326622101,1512.80282461524,1455.04951678679,1513.80950216256,1244.77952731998,879.055535473674
"NCU03883",1166.48526925021,756.495329025686,741.697045762958,3605.18601406585,1924.51104909387,2181.65553743762,1187.53992661201,806.670466292096,687.912431471053,2686.58557455133,2113.18477236368,1810.25843322121
"NCU03884",279.595695980077,120.748292902177,136.947330345121,112.823547024039,116.050917533299,154.727343080682,297.278206794265,190.431004505905,175.766171917714,162.938194225257,172.504879376627,134.093217275645
"NCU03885",1440.06815456405,739.765143864541,1098.00248931575,806.12854972901,829.280514873363,730.31305934082,1174.1702718091,752.261607861837,590.505070186606,707.328595086388,1133.04341226921,1102.54423093308
"NCU03886",646.377146620608,819.051673541272,768.359357865548,657.993816231798,788.179148246987,594.15299742982,358.621328831177,810.810270737877,892.684350971247,578.49374383851,909.571182167668,871.605912291694
"CreD",1142.43402658526,3045.62109868322,2663.80736370422,1359.91130344242,1358.76282611904,1299.70968187773,1188.32637689454,3438.4032925383,3437.39754932672,1386.8692810801,1987.72667827158,1862.40579549507
"NCU03888",2889.15552512746,1849.77655933877,1942.7130136569,4776.48390683449,3143.04568319351,3831.04901467769,2437.99587582598,3214.85385246615,2801.86863214642,4345.01851267352,5965.14031753494,5587.21738648522
"NCU03889",664.415578619323,952.893154830432,820.472058793338,2030.8238464327,1312.82600459544,1383.2624471413,599.275115283678,1183.98407149324,808.697559463768,2378.39240097798,2458.19453111693,1899.65391140497
"NCU03890",237.50602131641,600.831867091554,648.378953403893,396.174287259983,423.102303506818,380.629263978478,301.996908489412,766.455223104513,689.211196288179,485.025322344951,791.954218956331,558.721738648522
"NCU03891",589.255445291345,816.142076121942,642.319337016941,918.952096753048,708.394142442844,742.691246787275,759.710972918678,670.648320216449,470.1528637996,1009.83787816351,666.496124864239,387.380405462975
